ID	Site	Basin	TotalLength_mm	ForkLength_mm	Weight_kg	log_TotalLength_mm	log_ForkLength_mm	log_Mass_kg	Tag_ID	Sex	Condition_factor	Methionine_Average	Methionine_Sulfoxide	Tryptophan	Lysine_Average	trans_Hydroxyproline	total_Dimethylarginine	dimethyl_sulfone	Kynurenine	alpha_aminoadipic_acid
Wall 190 B1	Dauphin River	NA	523	496	1.2	2.718501688867274	2.6954816764901977	0.07918124604762482	17738	M	0.9834136149999999	68.8625	3.42	15.3	157.4	79.7	1.3800000000000001	7.8	0.316	4.17
Wall 191 B1	Dauphin River	NA	716	684	3.2	2.8549130223078554	2.835056101720116	0.505149978319906	17734	F	0.9999578020000001	156.5625	5.52	24.9	249.8125	132	2.34	4.6	1.01	2.4
Wall 192 B1	Dauphin River	NA	500	466	1.2	2.6989700043360187	2.66838591669	0.07918124604762482	17731	M	1.185832902	110.12499999999999	3.9499999999999997	48.3	431.125	105	3.53	17.9	0.533	9.709999999999999
Wall 193 B1	Dauphin River	NA	513	485	1.45	2.7101173651118162	2.6857417386022635	0.16136800223497488	17735	F	1.2709919109999999	138.75	12.9	39.5	418.93749999999994	136	3.4699999999999998	3.6	1.45	8.739999999999998
Wall 194 B2	Dauphin River	NA	506	479	1.25	2.7041505168397992	2.680335513414563	0.09691001300805642	17732	M	1.137374462	102.0625	3.09	22.9	184.5	83.6	1.6300000000000001	6.6	0.17	3.3699999999999997
Wall 195 B2	Dauphin River	NA	524	496	1.3	2.7193312869837265	2.6954816764901977	0.11394335230683679	17742	M	1.0653647489999998	102.925	2.98	36.6	376.375	81.6	2.27	6.8	0.42500000000000004	3.75
Wall 196 B1	Dauphin River	NA	628	595	2.3	2.797959643737196	2.7745169657285498	0.36172783601759284	14880	F	1.0918850979999999	50.525000000000006	1.95	20.6	175.9375	50.6	2.22	4.3	0.378	2.3899999999999997
Wall 197 B2	Dauphin River	NA	612	575	2.05	2.7867514221455614	2.7596678446896306	0.31175386105575426	17739	F	1.078326621	71.41250000000001	3.22	28.5	193.0125	63.9	1.9	6.8	0.727	3.22
Wall 198 B2	Dauphin River	NA	549	520	1.25	2.739572344450092	2.716003343634799	0.09691001300805642	6705	F	0.888996359	55.8375	1.33	18.8	175.32500000000002	7.17	1.34	5.5	1	0.42400000000000004
Wall 199 B1	Dauphin River	NA	482	455	1.2	2.6830470382388496	2.6580113966571126	0.07918124604762482	NA	F	1.2739343739999998	77.4	3.65	28.9	315.6875	67.5	2.4899999999999998	7.1	0.189	4.78
